epoch,total_loss,erm_loss,penalty,val_acc,irm_weight,lr
1,1.8339733961151867,1.799272719437514,0.03470067895498103,0.4904040404040404,1.0,0.0005
2,1.2678776378554057,1.2570124137692336,0.010865227161802311,0.5323232323232323,1.0,0.0005
3,1.1444616516431172,1.1291003837818052,0.015361268709582179,0.5404040404040404,1.0,0.0005
4,1.077629227463792,1.0610013957915267,0.016627835994657333,0.5757575757575758,1.0,0.0005
5,0.9910164145919366,0.9787714597655506,0.01224495275770702,0.5984848484848485,1.0,0.0005
6,0.9400789267648526,0.9253010691666022,0.014777855087394402,0.6585858585858586,1.0,0.0005
7,0.9047927832215782,0.8897392459032012,0.015053536603795138,0.6272727272727273,1.0,0.0005
8,0.8384190473130079,0.8246659384510382,0.013753110344490468,0.6803030303030303,1.0,0.0005
9,0.81841467890313,0.7995237945541134,0.018890886145704937,0.7388888888888889,1.0,0.0005
10,0.7253007421164008,0.707428530948918,0.01787221333418019,0.5338383838383839,1.0,0.0005
11,1.0624377625744517,0.8305639692438327,0.023187378925167115,0.7277777777777777,10.0,0.0005
12,0.8583835765598266,0.7166390758219773,0.014174450093311705,0.6727272727272727,10.0,0.0005
13,0.8893100614470195,0.7272915370096036,0.016201852559648185,0.706060606060606,10.0,0.0005
14,0.89824765096835,0.7182824553512945,0.017996519533666495,0.7308080808080808,10.0,0.0005
15,0.877739827322766,0.7262641070334892,0.015147572401740656,0.6297979797979798,10.0,0.00025
16,0.8125326856365048,0.6832370123242945,0.012929567236377016,0.7545454545454545,10.0,0.00025
17,0.7857482646538959,0.639944818688602,0.014580344374136496,0.7333333333333333,10.0,0.00025
18,0.8197603080330825,0.6705985110465104,0.014916180058740215,0.7686868686868686,10.0,0.00025
19,0.7861460331009655,0.6407602640186868,0.014538576870523033,0.7686868686868686,10.0,0.00025
20,0.755661652824743,0.633019453626338,0.01226421998146135,0.759090909090909,10.0,0.00025
21,0.7896498984437648,0.6489960846862173,0.014065381591690978,0.7383838383838384,10.0,0.00025
22,0.7482993190850669,0.6139010253960524,0.013439829495881695,0.75,10.0,0.00025
23,0.7784172107533711,0.6267824156012961,0.015163478947245058,0.7439393939393939,10.0,0.00025
24,0.7949884674413418,0.6348306730510743,0.01601577950238082,0.7545454545454545,10.0,0.000125
25,0.7623041182514129,0.617999226097169,0.014430489198246032,0.7691919191919192,10.0,0.000125
26,0.6954247340923403,0.5708758961863634,0.012454883753638185,0.793939393939394,10.0,0.000125
27,0.6967892743707672,0.5609499625558776,0.0135839308706222,0.796969696969697,10.0,0.000125
28,0.6531059669285286,0.5478368910347543,0.010526907865816492,0.8010101010101011,10.0,0.000125
29,0.6786461385284982,0.5531454958566805,0.012550064338554181,0.7878787878787878,10.0,0.000125
30,0.7074083874865276,0.5607302540201482,0.014667813406389065,0.8025252525252525,10.0,0.000125
31,0.6487686399037276,0.5371529789474921,0.011161565894481766,0.8176767676767677,10.0,0.000125
32,0.6680104693746179,0.5304103946782709,0.013760007349173235,0.793939393939394,10.0,0.000125
33,0.675046589800982,0.5373645890049819,0.013768199931018158,0.8202020202020202,10.0,0.000125
34,0.6327380140622457,0.5117529984412155,0.012098501446586845,0.804040404040404,10.0,0.000125
35,0.6232227879326518,0.5004944946707749,0.01227282937918979,0.806060606060606,10.0,0.000125
36,0.6422194690723729,0.5012558831916591,0.01409635875523502,0.8136363636363636,10.0,0.000125
37,0.6869475802754968,0.5384874782426571,0.014846010409814696,0.8005050505050505,10.0,0.000125
38,0.6892422079070797,0.5308022874642194,0.01584399229152662,0.8181818181818182,10.0,0.000125
39,0.6525791982809702,0.5169899371581349,0.013558926160529642,0.8303030303030303,10.0,0.000125
40,0.6322833350518855,0.4964032526907882,0.013588008168910638,0.8363636363636363,10.0,0.000125
41,0.6169641834448992,0.48916935508813314,0.01277948269675906,0.8318181818181818,10.0,0.000125
42,0.6130656006374979,0.48656543798562957,0.012650016089759358,0.796969696969697,10.0,0.000125
43,0.5988151961710395,0.4727213530521083,0.012609384411059101,0.8085858585858586,10.0,0.000125
44,0.6192914530998324,0.47520754686216027,0.014408390678827862,0.8005050505050505,10.0,0.000125
45,0.6242175710395099,0.47357821391849986,0.015063935656406664,0.8101010101010101,10.0,0.000125
46,0.6241387790296136,0.48704533218368284,0.013709344725811673,0.8464646464646465,10.0,0.000125
47,0.5667972009841019,0.45447668651255163,0.011232051804942852,0.8338383838383838,10.0,0.000125
48,0.586607981988085,0.4646710273696155,0.012193695399137658,0.8383838383838383,10.0,0.000125
49,0.587373905792469,0.465282260160136,0.01220916476300565,0.8368686868686869,10.0,0.000125
50,0.6111358081906791,0.46475223046008163,0.014638357478708817,0.8191919191919191,10.0,0.000125
